,Route ID,Difference
0,135,0 days 00:00:02
1,135,0 days 00:00:49
2,135,0 days 00:00:18
3,135,0 days 00:00:02
4,135,0 days 00:00:03
5,135,0 days 00:00:02
6,135,0 days 00:01:09
7,135,-1 days +23:59:59
8,135,0 days 00:00:46
9,135,0 days 00:00:37
10,135,0 days 00:00:59
11,135,0 days 00:00:08
12,135,0 days 00:00:12
13,135,0 days 00:01:38
14,135,0 days 00:01:42
15,135,0 days 00:01:18
16,135,0 days 00:02:17
17,135,0 days 00:02:53
18,135,0 days 00:01:02
19,135,0 days 00:02:15
20,135,0 days 00:02:23
21,135,0 days 00:02:38
22,135,0 days 00:00:02
23,135,0 days 00:01:16
24,135,0 days 00:02:18
25,135,0 days 00:02:29
26,135,0 days 00:00:55
27,135,0 days 00:00:02
28,135,0 days 00:00:32
29,135,0 days 00:00:02
30,135,0 days 00:00:57
31,135,0 days 00:00:26
32,135,0 days 00:00:41
33,135,0 days 00:00:03
34,135,0 days 00:00:03
35,135,0 days 00:00:44
36,135,0 days 00:00:50
37,135,0 days 00:00:03
38,135,0 days 00:01:07
39,135,0 days 00:02:05
40,135,0 days 00:00:32
41,135,0 days 00:01:36
42,135,0 days 00:00:35
43,135,0 days 00:00:00
44,135,0 days 00:00:11
45,135,0 days 00:00:09
46,135,0 days 00:00:03
47,135,0 days 00:00:02
48,135,0 days 00:00:02
49,135,0 days 00:00:23
50,135,0 days 00:01:59
51,135,0 days 00:00:10
52,135,0 days 00:01:00
53,135,0 days 00:00:34
54,135,-1 days +23:59:48
55,135,0 days 00:00:02
56,135,0 days 00:00:19
57,135,0 days 00:01:31
58,135,0 days 00:01:33
59,135,0 days 00:00:17
60,135,0 days 00:01:34
61,135,0 days 00:02:48
62,135,0 days 00:01:04
63,135,0 days 00:02:36
64,135,0 days 00:03:00
65,135,0 days 00:02:24
66,135,0 days 00:01:18
67,135,0 days 00:02:19
68,135,0 days 00:02:34
69,135,0 days 00:01:25
70,135,0 days 00:02:39
71,135,0 days 00:03:51
72,135,0 days 00:02:24
73,135,0 days 00:03:54
74,135,0 days 00:04:31
75,135,0 days 00:04:01
76,135,0 days 00:01:49
77,135,0 days 00:02:30
78,135,0 days 00:04:17
79,135,0 days 00:04:43
80,135,0 days 00:04:17
81,135,0 days 00:05:02
82,135,0 days 00:06:10
83,135,0 days 00:04:26
84,135,0 days 00:05:51
85,135,0 days 00:06:41
86,135,0 days 00:06:08
87,135,0 days 00:00:02
88,135,0 days 00:01:02
89,135,0 days 00:00:39
90,135,0 days 00:02:38
91,135,0 days 00:01:25
92,135,0 days 00:02:50
93,135,0 days 00:03:54
94,135,0 days 00:02:19
95,135,0 days 00:03:39
96,135,0 days 00:03:30
97,135,0 days 00:03:12
98,135,0 days 00:00:06
99,135,-1 days +23:59:47
100,135,0 days 00:00:09
101,135,0 days 00:00:23
102,135,-1 days +23:59:42
103,135,0 days 00:00:56
104,135,0 days 00:01:54
105,135,0 days 00:00:02
106,135,0 days 00:00:59
107,135,0 days 00:00:59
108,135,0 days 00:00:37
109,135,0 days 00:02:53
110,135,0 days 00:03:28
111,135,0 days 00:03:48
112,135,0 days 00:06:00
113,135,0 days 00:05:16
114,135,0 days 00:06:22
115,135,0 days 00:07:10
116,135,0 days 00:05:46
117,135,0 days 00:06:56
118,135,0 days 00:06:24
119,135,0 days 00:06:15
120,135,0 days 00:01:35
121,135,0 days 00:00:02
122,135,0 days 00:00:05
123,135,0 days 00:00:32
124,135,0 days 00:00:02
125,135,0 days 00:01:37
126,135,0 days 00:02:44
127,135,0 days 00:00:48
128,135,0 days 00:02:22
129,135,0 days 00:02:37
130,135,0 days 00:02:10
131,135,0 days 00:02:18
132,135,0 days 00:03:01
133,135,0 days 00:03:15
134,135,0 days 00:03:31
135,135,0 days 00:02:19
136,135,0 days 00:03:14
137,135,0 days 00:04:28
138,135,0 days 00:02:52
139,135,0 days 00:04:27
140,135,0 days 00:04:22
141,135,0 days 00:03:46
142,135,0 days 00:00:03
143,135,0 days 00:01:48
144,135,0 days 00:02:12
145,135,0 days 00:04:18
146,135,0 days 00:03:44
147,135,0 days 00:05:06
148,135,0 days 00:06:04
149,135,0 days 00:04:22
150,135,0 days 00:05:27
151,135,0 days 00:04:43
152,135,0 days 00:04:19
153,135,0 days 00:00:02
154,135,0 days 00:00:22
155,135,0 days 00:01:20
156,135,0 days 00:03:00
157,135,0 days 00:01:32
158,135,0 days 00:02:42
159,135,0 days 00:03:38
160,135,0 days 00:01:36
161,135,0 days 00:02:32
162,135,0 days 00:02:35
163,135,0 days 00:01:50
164,135,-1 days +23:59:59
165,135,0 days 00:01:12
166,135,0 days 00:01:38
167,135,0 days 00:01:43
168,135,0 days 00:00:40
169,135,0 days 00:01:54
170,135,0 days 00:03:04
171,135,0 days 00:01:34
172,135,0 days 00:02:20
173,135,0 days 00:02:01
174,135,0 days 00:01:25
175,135,0 days 00:02:06
176,135,0 days 00:00:14
177,135,0 days 00:00:22
178,135,0 days 00:00:21
179,135,0 days 00:00:03
180,135,0 days 00:01:47
181,135,0 days 00:02:49
182,135,0 days 00:01:21
183,135,0 days 00:02:29
184,135,0 days 00:02:26
185,135,0 days 00:01:52
186,135,0 days 00:00:02
187,135,0 days 00:00:43
188,135,0 days 00:00:03
189,135,0 days 00:01:37
190,135,0 days 00:04:35
191,135,0 days 00:02:45
192,135,0 days 00:02:59
193,135,0 days 00:02:57
194,135,0 days 00:02:32
195,135,0 days 00:03:00
196,135,0 days 00:04:06
197,135,0 days 00:01:19
198,135,0 days 00:02:37
199,135,0 days 00:03:02
200,135,0 days 00:02:41
201,135,0 days 00:00:01
202,135,0 days 00:01:20
203,135,0 days 00:02:08
204,135,0 days 00:04:41
