,Route ID,Difference
0,135,0 days 00:03:03
1,135,0 days 00:01:11
2,135,0 days 00:02:17
3,135,0 days 00:00:20
4,135,0 days 00:00:11
5,135,0 days 00:00:30
6,135,0 days 00:01:22
7,135,0 days 00:00:02
8,135,0 days 00:01:06
9,135,0 days 00:00:08
10,135,0 days 00:00:34
11,135,0 days 00:02:31
12,135,0 days 00:03:38
13,135,0 days 00:01:41
14,135,0 days 00:01:12
15,135,0 days 00:02:42
16,135,0 days 00:03:42
17,135,0 days 00:01:26
18,135,0 days 00:02:18
19,135,0 days 00:01:32
20,135,0 days 00:00:51
21,135,0 days 00:00:05
22,135,0 days 00:00:21
23,135,0 days 00:01:25
24,135,0 days 00:01:59
25,135,0 days 00:02:13
26,135,0 days 00:03:17
27,135,0 days 00:03:59
28,135,0 days 00:02:23
29,135,0 days 00:03:35
30,135,0 days 00:04:04
31,135,0 days 00:03:28
32,135,0 days 00:00:03
33,135,0 days 00:01:45
34,135,0 days 00:02:42
35,135,0 days 00:00:45
36,135,0 days 00:00:22
37,135,0 days 00:01:08
38,135,0 days 00:01:44
39,135,0 days 00:00:03
40,135,0 days 00:01:05
41,135,0 days 00:00:06
42,135,0 days 00:00:04
43,135,0 days 00:00:03
44,135,0 days 00:00:44
45,135,-1 days +23:59:25
46,135,0 days 00:00:04
47,135,0 days 00:00:03
48,135,0 days 00:00:03
49,135,0 days 00:01:16
50,135,0 days 00:00:03
51,135,0 days 00:00:48
52,135,0 days 00:00:41
53,135,0 days 00:00:13
54,135,0 days 00:00:04
55,135,0 days 00:00:42
56,135,0 days 00:01:34
57,135,0 days 00:02:05
58,135,0 days 00:00:54
59,135,0 days 00:02:06
60,135,0 days 00:02:25
61,135,0 days 00:03:19
62,135,0 days 00:01:55
63,135,0 days 00:02:35
64,135,0 days 00:01:58
65,135,0 days 00:01:14
66,135,0 days 00:01:23
67,135,0 days 00:01:54
68,135,0 days 00:03:07
69,135,0 days 00:03:07
70,135,0 days 00:01:54
71,135,0 days 00:03:13
72,135,0 days 00:04:04
73,135,0 days 00:02:03
74,135,0 days 00:03:15
75,135,0 days 00:03:34
76,135,0 days 00:03:05
77,135,0 days 00:00:12
78,135,0 days 00:01:14
79,135,0 days 00:01:25
80,135,0 days 00:01:35
81,135,0 days 00:00:56
82,135,0 days 00:00:26
83,135,0 days 00:01:27
84,135,0 days 00:00:03
85,135,0 days 00:01:09
86,135,0 days 00:02:25
87,135,0 days 00:00:40
88,135,0 days 00:00:46
89,135,0 days 00:01:14
90,135,0 days 00:00:09
91,135,0 days 00:00:49
92,135,0 days 00:01:43
93,135,0 days 00:00:20
94,135,0 days 00:01:16
95,135,0 days 00:02:21
96,135,0 days 00:02:05
97,135,0 days 00:00:05
98,135,0 days 00:00:37
99,135,0 days 00:00:28
100,135,0 days 00:00:34
101,135,0 days 00:00:03
102,135,0 days 00:01:18
103,135,0 days 00:01:48
104,135,0 days 00:00:03
105,135,0 days 00:01:15
106,135,0 days 00:01:31
107,135,0 days 00:00:55
108,135,0 days 00:00:02
109,135,0 days 00:00:08
110,135,0 days 00:00:25
111,135,0 days 00:02:14
112,135,0 days 00:01:14
113,135,0 days 00:03:58
114,135,0 days 00:05:03
